# Generated from MathJax 3.2.2 mappings for the pinned WIRIS coverage corpus.
# latex-command<TAB>mtef-typeface<TAB>unicode-code-point
\lor	6	2228
\lozenge	6	25CA
\lrcorner	6	231F
\ltimes	6	22C9
\lvertneqq	6	2268
\maltese	6	2720
\mapsto	6	21A6
\measuredangle	6	2221
\mho	6	2127
\mid	6	2223
\models	6	22A8
\mp	6	2213
\mu	4	3BC
\multimap	6	22B8
\nLeftarrow	6	21CD
\nLeftrightarrow	6	21CE
\nRightarrow	6	21CF
\nVDash	6	22AF
\nVdash	6	22AE
\nabla	6	2207
\natural	6	266E
\ncong	6	2247
\ne	6	2260
\nearrow	6	2197
\neg	6	AC
\neq	6	2260
\nexists	6	2204
\ni	6	220B
\nleftarrow	6	219A
\nleftrightarrow	6	21AE
\nmid	6	2224
\notin	6	2209
\nparallel	6	2226
\nprec	6	2280
\npreceq	6	22E0
\nrightarrow	6	219B
\nshortmid	6	2224
\nshortparallel	6	2226
\nsim	6	2241
\nsubseteq	6	2288
\nsucc	6	2281
\nsupseteq	6	2289
\ntriangleleft	6	22EA
\ntrianglelefteq	6	22EC
\ntriangleright	6	22EB
\ntrianglerighteq	6	22ED
\nu	4	3BD
\nvDash	6	22AD
\nvdash	6	22AC
\nwarrow	6	2196
\odot	6	2299
\omega	4	3C9
\omicron	4	3BF
\ominus	6	2296
\oplus	6	2295
\oslash	6	2298
\otimes	6	2297
\owns	6	220B
\parallel	6	2225
\partial	6	2202
\perp	6	22A5
\phi	4	3D5
\pi	4	3C0
\pitchfork	6	22D4
\pm	6	B1
\prec	6	227A
\precapprox	6	2AB7
\preccurlyeq	6	227C
\preceq	6	2AAF
\precnapprox	6	2AB9
\precneqq	6	2AB5
\precnsim	6	22E8
\precsim	6	227E
\prime	6	2032
\prod	6	220F
\propto	6	221D
\psi	4	3C8
\rangle	6	27E9
\rbrace	6	7D
\rbrack	6	5D
\rceil	6	2309
\restriction	6	21BE
\rfloor	6	230B
\rgroup	6	27EF
\rhd	6	22B3
\rho	4	3C1
\rightarrow	6	2192
\rightarrowtail	6	21A3
\rightharpoondown	6	21C1
\rightharpoonup	6	21C0
\rightleftarrows	6	21C4
\rightleftharpoons	6	21CC
\rightrightarrows	6	21C9
\rightsquigarrow	6	21DD
\rightthreetimes	6	22CC
\risingdotseq	6	2253
\rmoustache	6	23B1
\rtimes	6	22CA
\searrow	6	2198
\setminus	6	2216
\sharp	6	266F
\shortmid	6	2223
\shortparallel	6	2225
\sigma	4	3C3
\sim	6	223C
\simeq	6	2243
\smile	6	2323
\spadesuit	6	2660
\sphericalangle	6	2222
\sqcap	6	2293
\sqcup	6	2294
\sqsubset	6	228F
\sqsubseteq	6	2291
\sqsupset	6	2290
\sqsupseteq	6	2292
\square	6	25FB
\star	6	22C6
\subset	6	2282
\subseteq	6	2286
\subseteqq	6	2AC5
\subsetneq	6	228A
\subsetneqq	6	2ACB
\succ	6	227B
\succapprox	6	2AB8
\succcurlyeq	6	227D
\succeq	6	2AB0
\succnapprox	6	2ABA
\succneqq	6	2AB6
\succnsim	6	22E9
\succsim	6	227F
\sum	6	2211
\supset	6	2283
\supseteq	6	2287
\supseteqq	6	2AC6
\supsetneq	6	228B
